userName,content,score,reviewCreatedVersion,date
Frizza Code - PCQUWDIL,"absolutely, love this! i've never had any connection issues with regards to wifi. i have occasionally had issues with the bluetooth dropping out but it tends to be the batteries getting low. without the onscreen notification i'd normally get if playing via the normal channels, its hard to say. sometimes i'd give up playing and try again at a later time, sometimes i'd try changing the batteries. it all depends if i'm short on time or not.",5,9.2,2020-11-01
Rozdhan Code - 043KEJ,"nice game but every through a new android update, i can't play my games without re-enabling google play games even though i had it disabled for the past two years and i could play my games perfectly fine. honestly screw google play games forcing me to re-enable it even though i didn't need before and to update it on the little space i have left on my phone. you're a waste of time and stop me from playing the games i love.",4,9.2,2020-11-02
Frizza Code - PCQUWDIL,"i have been very passionate and cooperative upon playing and watching the ads to gain more tickets and somehow have the chance of winning the draw but to my surprise i wasn't even chosen eventhough i have 60k+ tickets, and the winner has smaller amount of tickets. like? what? it's so sad. efforts and sleepless nights were useless. the games are nice tho, but i can't get over with the $$$ thing. please give us some hope",5,9.2,2020-10-19
Amen,"it was good for me untill i changed my paytm number. after changing my paytm number, then i cant change my registered number in frizza. so i cant transfer money to paytm. and i can also can not start a new account in this same device. when i contacted customer care, they are not replying.......",3,9.2,2020-10-24
Shaukat Alam,the app is really good.it give the payment also but there is a problem with referral code the is not working. sorry for this type of conversation actually referral code is also working but it give the payment in late.,2,9.2,2020-10-31
Janmejay Singh,this app is very useful for the students i would like to suggest that they pay actual amount .this app is fine .i thankful to designer of this app .,5,9.2,2020-10-29
Anil Kumar Vines,nice application for earn money. i just want to say that it is so beautiful. just install any app and earned money.,5,9.2,2020-11-02
Kalsy Pavankumar,"completely wrost experience i hv ever been, don't waste ur time by downloading this fake app... i have never thought that it would be such a froud application, after completion of above 30/- in my wallet still says that some technical issue please come tomorrow then after that day if we check d redemption option then it will tell us to verify email sent to my inbox which i don't get any mail from this application then how can i verify and how to get reception very very very disappointing......",1,9.0,2020-10-06
Anshdeep Singh,its good app for me. i rate 4 stars because its take two much time to transfer money.,4,9.2,2020-10-29
Techno Gamerbaz,very good experience i get from this app and i recommend it for all pubg players who want to get royal pass. but for getting 800 rs it totaly depends on your resources that you have. over all app is deserving 6 stars.,5,9.2,2020-10-20
APURBA Maity,great app but please increase the amount of money .either it is a good apps,4,9.2,2020-11-03
Dinesh kumar,its a nice and good earning app but sometimes if i completed the task also i am not getting the money.,4,9.2,2020-10-31
Mohit Goswami,"very very very good app, i am 4 to 5 redeem for this, and 1 to 2 hour , i received money, so i decided to give a five star this app..",5,9.2,2020-10-23
Urvashi bisen,this app is taking too much time to transfer money to paytm it should be under 1 day but this app taking 3 days only to transfer rs 30,4,9.2,2020-10-30
Akshay R L,very good app. easy to earn. should add more offers to earn.,5,9.2,2020-10-25
Shree Hari,i have kept frizza app for 2 months... at first i withdrawed 30 rs it was successful... but now iam unable to withdraw.. it shows error or says that my paytm account is mischievous,2,9.2,2020-11-03
MELBIA NADAR,not able to redeem the amount form the wallet...its always showing get more to do an instant recharge...why so?,1,9.2,2020-10-20
